ENST00000342085.4#PDPK1	0	chr16	+	2587864	2653289	2647947,2647838,2647935,2647928,
ENST00000254759.3#COQ3	0	chr6	-	99817175	99842180	99817463,
ENST00000443503.2#CTDSPL	0	chr3	+	37903350	38026060	38022521,38022515,38022538,
ENST00000241436.4#POLK	0	chr5	+	74807480	74897069	74893843,74892872,
ENST00000344836.4#USP7	0	chr16	-	8985850	9057441	8987210,8987688,8987214,8987795,
ENST00000409502.3#PPM1M	0	chr3	+	52280124	52284713	52284076,52284444,52284396,
ENST00000545260.1#PARD3	0	chr10	-	34398387	35104353	34400086,34671642,34400243,34671621,34635080,34671647,34400042,34400137,34606148,
ENST00000216181.5#MYH9	0	chr22	-	36677226	36784163	36691635,36688233,36681998,36678684,36716334,36726769,36726799,36678480,36691117,36680484,36690305,36691065,36688274,36696190,36681927,36684432,36701641,36681730,36691630,36716360,
ENST00000369983.3#GBF1	0	chr10	+	104005188	104142756	104142571,
ENST00000311128.5#DENND6A	0	chr3	-	57611083	57678916	57614041,57613805,57613979,57665361,
ENST00000367459.3#RGS1	0	chr1	+	192544756	192549261	192548451,192548640,192548721,192548375,
ENST00000256441.4#MRPS36	0	chr5	+	68513486	68526056	68525105,
ENST00000296582.3#TMEM184C	0	chr4	+	148538433	148557972	148556180,148555473,148556279,148555659,148555585,148555492,148555602,
ENST00000394234.2#DCAF4	0	chr14	+	73393085	73426511	73404680,73425819,73425807,
ENST00000427980.2#ATXN1L	0	chr16	+	71879793	71891331	71884857,71885473,71884505,71884591,71884685,71884863,71885102,71885159,71884848,
ENST00000543010.1#NLRP2	0	chr19	+	55476519	55512610	55494831,55494811,55493740,55493763,55494697,55493751,55494642,55494657,
ENST00000326427.6#ITM2C	0	chr2	+	231729514	231744062	231729647,
ENST00000329962.6#B4GALNT4	0	chr11	+	369703	382216	376857,
ENST00000217402.2#CHMP4B	0	chr20	+	32399009	32442272	32441328,32441322,32441325,
ENST00000396958.3#FLYWCH2	0	chr16	+	2933086	2949483	2949060,2946752,
ENST00000392129.6#TMCO1	0	chr1	-	165695931	165738239	165728779,165737443,165728782,165737477,165723508,
ENST00000307145.3#KLF13	0	chr15	+	31618957	31670202	31669088,31665567,31664584,31664759,31665581,31666441,31666455,31669114,31665341,31665561,31669827,31665748,31668366,31665304,31665543,31664850,31668328,31664783,31664608,31665575,31665691,31664739,31664679,
ENST00000381869.3#MTUS1	0	chr8	-	17501203	17658526	17612045,17503166,17611829,17612050,17503039,17611575,17613229,17503278,17503316,17612300,17612693,17503259,17503415,17612812,17612112,17612472,17613205,17612840,17503550,17611801,17612088,17613184,17503536,17503436,17503381,17612084,17611930,
ENST00000337137.4#TBC1D22A	0	chr22	+	47158417	47571436	47569437,47570720,
ENST00000370747.4#IFI44	0	chr1	+	79115415	79129863	79116256,
ENST00000405303.2#TAPT1	0	chr4	-	16162027	16228264	16164828,16164890,16165078,16164759,16164870,16164536,16165054,16165017,16164966,16164700,16165038,16165029,16164855,
ENST00000297440.6#HEATR2	0	chr7	+	766237	826212	825389,825780,825362,825754,825815,825777,825613,825750,
ENST00000226760.1#WFS1	0	chr4	+	6271476	6305092	6304304,6304353,6302639,6304319,6304347,6303923,6304849,
ENST00000448838.3#PDHX	0	chr11	+	34937576	35017769	35016651,35016655,35016633,
ENST00000257940.2#ZC3H10	0	chr12	+	56511842	56516378	56514770,56515663,56514935,56514785,
ENST00000275766.1#ZC3HAV1L	0	chr7	-	138710351	138720875	138713531,
ENST00000284273.5#UBASH3B	0	chr11	+	122526282	122685281	122680654,122680687,122680742,122680762,
ENST00000260843.4#GPR87	0	chr3	-	151011790	151034840	151012790,151012475,151012758,
ENST00000379454.4#ASPH	0	chr8	-	62413687	62627218	62460688,62574437,62596746,62538820,62519635,62559419,62538425,62566219,62546262,62519780,62460712,62559426,62415958,
ENST00000377403.2#H6PD	0	chr1	+	9294733	9331496	9305064,9325334,9305258,9305092,9305559,9329196,9329201,9329204,9329088,9329258,9305329,9323801,9305339,9330366,9305099,9324002,9323639,9329890,9329173,9325674,9328989,9330841,
ENST00000413379.3#SAE1	0	chr19	+	47633985	47713986	47712911,47673114,47712508,
ENST00000206423.3#CCDC80	0	chr3	-	112323306	112360216	112359474,112359515,112359592,112357338,112359627,112357360,112359547,112358236,112324244,112359537,112358649,
ENST00000557658.1#VIPAS39	0	chr14	-	77892924	77924083	77893567,77893579,77893653,
ENST00000344204.4#TRIO	0	chr5	+	14143710	14510413	14508259,14508803,14291170,14508601,14291120,14291060,14509553,14508476,14290999,14508902,14508234,14509055,14509940,14508220,14508458,14508435,14508397,14508431,14291104,14508421,14509062,14508244,14509127,14508496,
ENST00000272252.5#GALM	0	chr2	+	38892951	38962010	38961748,38961166,38961734,38961584,
ENST00000356175.3#NF1	0	chr17	+	29421844	29704795	29653130,29652932,
ENST00000296456.5#APEH	0	chr3	+	49711334	49721496	49720874,
ENST00000370966.5#DEPDC1	0	chr1	-	68939734	68963004	68944869,68944847,68944855,
ENST00000369769.2#KCNA3	0	chr1	-	111214209	111217755	111216073,111216386,111214633,111214563,111216106,111215281,111215471,111215459,111216456,111214835,
ENST00000254940.5#NIP7	0	chr16	+	69373232	69377114	69375577,69375514,69375556,69375549,69373675,69375543,69375669,69376768,
ENST00000403263.1#INO80D	0	chr2	-	206858344	206951006	206869400,206869819,
ENST00000409792.3#SETD2	0	chr3	-	47058078	47205557	47165357,47162181,47164566,47164682,47162241,47125602,47125856,47164674,47058419,47098474,47162842,47163850,47162440,47125665,47162650,47162674,47125646,47164588,47125631,47163935,47161991,
ENST00000369287.3#C10orf118	0	chr10	-	115880520	115934079	115922693,115922598,115884930,115922875,115884954,115922900,115922778,115922626,115884917,115922698,
ENST00000376150.3#PAGE1	0	chrX	-	49451952	49460696	49460584,
ENST00000350796.3#CYTH3	0	chr7	-	6201306	6312375	6203950,6204559,6204546,6203464,6204608,6204619,6204600,
ENST00000371250.3#PPAP2B	0	chr1	-	56960318	57045341	56962127,57044932,56962261,57044924,
ENST00000228865.2#CREBL2	0	chr12	+	12764725	12798142	12795141,12795107,12764849,
ENST00000392857.5#ORC4	0	chr2	-	148687867	148778392	148692962,148692994,148692433,148693220,
ENST00000476371.1#MRPS14	0	chr1	-	174981993	174992661	174983649,174983607,
ENST00000265350.4#MED20	0	chr6	-	41872991	41888937	41874748,41873320,
ENST00000329630.5#ZNF775	0	chr7	+	150076323	150095819	150093734,150093763,
ENST00000356834.3#TBC1D9B	0	chr5	-	179288965	179334959	179289413,179290797,179290516,179290497,179290530,179290969,179290577,179289848,179290932,179290951,179289945,179289953,179290537,179290558,
ENST00000373210.3#AGO4	0	chr1	+	36273672	36323591	36321441,36321783,36321467,36319222,
